Place_TractID,StateAbbr,PlaceName,city_state,PlaceFIPS,TractFIPS,CountyFIPS,SiteId,PM2.5_Exceptional,PM2.5_ExceedCount,PM2.5_Max,Ozone_Exceptional,Ozone_ExceedCount,Ozone_Max
0107000-01073003200,AL,Birmingham,Birmingham_AL,107000,1073003200,1073,15.0,0,0.0,22.0,,,
0107000-01073003300,AL,Birmingham,Birmingham_AL,107000,1073003300,1073,15.0,0,0.0,22.0,,,
0107000-01073010500,AL,Birmingham,Birmingham_AL,107000,1073010500,1073,15.0,0,0.0,22.0,,,
0107000-01073010701,AL,Birmingham,Birmingham_AL,107000,1073010701,1073,17.0,0,0.0,23.1,,,
0107000-01073010801,AL,Birmingham,Birmingham_AL,107000,1073010801,1073,11.0,0,0.0,26.6,0.0,1.0,0.078
0107000-01073010802,AL,Birmingham,Birmingham_AL,107000,1073010802,1073,17.0,0,0.0,23.1,,,
0107000-01073010803,AL,Birmingham,Birmingham_AL,107000,1073010803,1073,11.0,0,0.0,26.6,0.0,1.0,0.078
0107000-01073010805,AL,Birmingham,Birmingham_AL,107000,1073010805,1073,11.0,0,0.0,26.6,0.0,1.0,0.078
0107000-01073011207,AL,Birmingham,Birmingham_AL,107000,1073011207,1073,11.0,0,0.0,26.6,0.0,1.0,0.078
0107000-01073011803,AL,Birmingham,Birmingham_AL,107000,1073011803,1073,11.0,0,0.0,26.6,0.0,1.0,0.078
0107000-01073012001,AL,Birmingham,Birmingham_AL,107000,1073012001,1073,11.0,0,0.0,26.6,0.0,1.0,0.078
0107000-01073012302,AL,Birmingham,Birmingham_AL,107000,1073012302,1073,15.0,0,0.0,22.0,,,
0107000-01073012305,AL,Birmingham,Birmingham_AL,107000,1073012305,1073,15.0,0,0.0,22.0,,,
0107000-01073012402,AL,Birmingham,Birmingham_AL,107000,1073012402,1073,17.0,0,0.0,23.1,,,
0107000-01073012500,AL,Birmingham,Birmingham_AL,107000,1073012500,1073,15.0,0,0.0,22.0,,,
0107000-01073012602,AL,Birmingham,Birmingham_AL,107000,1073012602,1073,11.0,0,0.0,26.6,0.0,1.0,0.078
0107000-01073012703,AL,Birmingham,Birmingham_AL,107000,1073012703,1073,11.0,0,0.0,26.6,0.0,1.0,0.078
0107000-01073012704,AL,Birmingham,Birmingham_AL,107000,1073012704,1073,11.0,0,0.0,26.6,0.0,1.0,0.078
0107000-01073013901,AL,Birmingham,Birmingham_AL,107000,1073013901,1073,15.0,0,0.0,22.0,,,
0107000-01073014413,AL,Birmingham,Birmingham_AL,107000,1073014413,1073,15.0,0,0.0,22.0,,,
0107000-01117030213,AL,Birmingham,Birmingham_AL,107000,1117030213,1117,11.0,0,0.0,26.6,0.0,1.0,0.078
0107000-01117030303,AL,Birmingham,Birmingham_AL,107000,1117030303,1117,17.0,0,0.0,23.1,,,
0135896-01073012906,AL,Hoover,Hoover_AL,135896,1073012906,1073,17.0,0,0.0,23.1,,,
0135896-01073012910,AL,Hoover,Hoover_AL,135896,1073012910,1073,17.0,0,0.0,23.1,,,
0135896-01073014203,AL,Hoover,Hoover_AL,135896,1073014203,1073,15.0,0,0.0,22.0,,,
0135896-01117030212,AL,Hoover,Hoover_AL,135896,1117030212,1117,17.0,0,0.0,23.1,,,
0135896-01117030305,AL,Hoover,Hoover_AL,135896,1117030305,1117,17.0,0,0.0,23.1,,,
0135896-01117030330,AL,Hoover,Hoover_AL,135896,1117030330,1117,17.0,0,0.0,23.1,,,
0135896-01117030344,AL,Hoover,Hoover_AL,135896,1117030344,1117,17.0,0,0.0,23.1,,,
0137000-01083020802,AL,Huntsville,Huntsville_AL,137000,1083020802,1083,25.0,0,0.0,18.5,0.0,0.0,0.07
0137000-01083021200,AL,Huntsville,Huntsville_AL,137000,1083021200,1083,25.0,0,0.0,18.5,0.0,0.0,0.07
0137000-01089000201,AL,Huntsville,Huntsville_AL,137000,1089000201,1089,25.0,0,0.0,18.5,0.0,0.0,0.07
0137000-01089010502,AL,Huntsville,Huntsville_AL,137000,1089010502,1089,25.0,0,0.0,18.5,0.0,0.0,0.07
0137000-01089010623,AL,Huntsville,Huntsville_AL,137000,1089010623,1089,25.0,0,0.0,18.5,0.0,0.0,0.07
0137000-01089010624,AL,Huntsville,Huntsville_AL,137000,1089010624,1089,25.0,0,0.0,18.5,0.0,0.0,0.07
0137000-01089010702,AL,Huntsville,Huntsville_AL,137000,1089010702,1089,25.0,0,0.0,18.5,0.0,0.0,0.07
0137000-01089010800,AL,Huntsville,Huntsville_AL,137000,1089010800,1089,25.0,0,0.0,18.5,0.0,0.0,0.07
0137000-01089011022,AL,Huntsville,Huntsville_AL,137000,1089011022,1089,25.0,0,0.0,18.5,0.0,0.0,0.07
0137000-01089011300,AL,Huntsville,Huntsville_AL,137000,1089011300,1089,25.0,0,0.0,18.5,0.0,0.0,0.07
0150000-01097000402,AL,Mobile,Mobile_AL,150000,1097000402,1097,29.0,0,0.0,20.8,0.0,0.0,0.06
0150000-01097003605,AL,Mobile,Mobile_AL,150000,1097003605,1097,29.0,0,0.0,20.8,0.0,0.0,0.06
0150000-01097003800,AL,Mobile,Mobile_AL,150000,1097003800,1097,29.0,0,0.0,20.8,0.0,0.0,0.06
0150000-01097003902,AL,Mobile,Mobile_AL,150000,1097003902,1097,29.0,0,0.0,20.8,0.0,0.0,0.06
0150000-01097006403,AL,Mobile,Mobile_AL,150000,1097006403,1097,29.0,0,0.0,20.8,0.0,0.0,0.06
0150000-01097006404,AL,Mobile,Mobile_AL,150000,1097006404,1097,29.0,0,0.0,20.8,0.0,0.0,0.06
0150000-01097006405,AL,Mobile,Mobile_AL,150000,1097006405,1097,29.0,0,0.0,20.8,0.0,0.0,0.06
0150000-01097006801,AL,Mobile,Mobile_AL,150000,1097006801,1097,29.0,0,0.0,20.8,0.0,0.0,0.06
0150000-01097006802,AL,Mobile,Mobile_AL,150000,1097006802,1097,29.0,0,0.0,20.8,0.0,0.0,0.06
0151000-01101005301,AL,Montgomery,Montgomery_AL,151000,1101005301,1101,29.0,0,0.0,20.8,0.0,0.0,0.06
0151000-01101005501,AL,Montgomery,Montgomery_AL,151000,1101005501,1101,29.0,0,0.0,20.8,0.0,0.0,0.06
0151000-01101005503,AL,Montgomery,Montgomery_AL,151000,1101005503,1101,29.0,0,0.0,20.8,0.0,0.0,0.06
0151000-01101005608,AL,Montgomery,Montgomery_AL,151000,1101005608,1101,29.0,0,0.0,20.8,0.0,0.0,0.06
0151000-01101005610,AL,Montgomery,Montgomery_AL,151000,1101005610,1101,29.0,0,0.0,20.8,0.0,0.0,0.06
0151000-01101005901,AL,Montgomery,Montgomery_AL,151000,1101005901,1101,29.0,0,0.0,20.8,0.0,0.0,0.06
0177256-01125010102,AL,Tuscaloosa,Tuscaloosa_AL,177256,1125010102,1125,38.0,0,0.0,20.5,,,
0177256-01125010203,AL,Tuscaloosa,Tuscaloosa_AL,177256,1125010203,1125,38.0,0,0.0,20.5,,,
0177256-01125010500,AL,Tuscaloosa,Tuscaloosa_AL,177256,1125010500,1125,38.0,0,0.0,20.5,,,
0177256-01125010601,AL,Tuscaloosa,Tuscaloosa_AL,177256,1125010601,1125,38.0,0,0.0,20.5,,,
0177256-01125010702,AL,Tuscaloosa,Tuscaloosa_AL,177256,1125010702,1125,38.0,0,0.0,20.5,,,
