StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_TractID,Population2010,Insurance,HighBloodPressure,Cancer,Asthma,HeartDisease,AnnualCheckUps,Smokes,MentalHealthIssues,Latitude,Longitude,newFIPS,CountyFIPS
AL,Huntsville,137000,1089011022,0137000-01089011022,672.0,13.2,22.2,3.4,9.7,2.7,62.7,16.7,14.0,34.6990029313,-86.7108145743,1089,1089
AL,Huntsville,137000,1089011300,0137000-01089011300,937.0,12.1,39.5,8.7,9.8,7.7,71.5,17.6,13.1,34.5871495414,-86.5141757841,1089,1089
AL,Mobile,150000,1097000402,0150000-01097000402,103.0,26.0,65.9,9.1,14.8,16.1,84.3,25.5,20.3,30.7043269797,-88.0521437726,1097,1097
AL,Mobile,150000,1097003605,0150000-01097003605,791.0,15.9,10.8,0.8,12.6,0.6,63.9,14.6,20.7,30.6951628408,-88.1823467808,1097,1097
AL,Mobile,150000,1097003800,0150000-01097003800,669.0,22.3,54.9,6.8,13.1,9.5,81.1,22.9,17.0,30.789062197,-88.0305345981,1097,1097
AL,Mobile,150000,1097003902,0150000-01097003902,667.0,27.3,59.6,6.6,13.9,12.9,80.1,28.8,20.9,30.7200721789,-88.1054110063,1097,1097
AL,Mobile,150000,1097006403,0150000-01097006403,142.0,18.6,36.2,6.6,11.0,7.0,70.3,22.3,16.6,30.6914801036,-88.2526497197,1097,1097
AL,Mobile,150000,1097006404,0150000-01097006404,557.0,14.5,32.5,5.2,10.1,5.0,69.6,19.2,14.5,30.6763745679,-88.229791628,1097,1097
AL,Mobile,150000,1097006405,0150000-01097006405,603.0,15.7,29.9,4.4,11.8,3.6,73.3,17.1,15.0,30.6766200265,-88.218824228,1097,1097
AL,Mobile,150000,1097006801,0150000-01097006801,344.0,12.2,35.7,6.7,9.6,5.9,72.3,16.6,12.9,30.6239513511,-88.2154520103,1097,1097
AL,Mobile,150000,1097006802,0150000-01097006802,219.0,19.4,36.6,6.6,10.3,7.5,68.1,24.1,17.0,30.6009205798,-88.1776807611,1097,1097
AL,Montgomery,151000,1101005301,0151000-01101005301,623.0,16.2,20.8,2.4,9.9,1.7,64.4,19.8,15.2,32.4067693075,-86.246702078,1101,1101
AL,Montgomery,151000,1101005501,0151000-01101005501,539.0,19.0,35.9,5.2,10.7,5.7,69.8,24.7,16.6,32.3761148278,-86.1216054231,1101,1101
AL,Montgomery,151000,1101005503,0151000-01101005503,492.0,11.6,25.9,5.2,9.6,3.6,68.3,15.2,12.6,32.3507857569,-86.132538643,1101,1101
AL,Montgomery,151000,1101005608,0151000-01101005608,136.0,8.8,34.1,7.1,8.9,5.2,74.1,11.7,10.1,32.2957811657,-86.1316584857,1101,1101
AL,Montgomery,151000,1101005610,0151000-01101005610,730.0,19.1,37.3,4.5,11.9,4.6,75.0,21.0,15.9,32.2929205291,-86.2461746899,1101,1101
AL,Montgomery,151000,1101005901,0151000-01101005901,896.0,20.3,47.5,6.6,11.4,7.7,78.2,19.6,14.5,32.2935892389,-86.3532149081,1101,1101
AL,Tuscaloosa,177256,1125010102,0177256-01125010102,57.0,11.7,28.3,4.6,10.0,4.0,65.9,18.0,15.1,33.3533640096,-87.5417550754,1125,1125
AL,Tuscaloosa,177256,1125010203,0177256-01125010203,130.0,15.5,27.6,4.3,9.7,3.7,64.9,18.9,15.1,33.3287393581,-87.5579515548,1125,1125
AL,Tuscaloosa,177256,1125010500,0177256-01125010500,75.0,22.6,38.8,4.5,12.8,5.6,69.3,26.9,21.0,33.2357455202,-87.4997219668,1125,1125
AL,Tuscaloosa,177256,1125010601,0177256-01125010601,58.0,17.3,41.2,6.9,10.9,8.8,68.9,24.8,18.2,33.2137805979,-87.4442323433,1125,1125
AL,Tuscaloosa,177256,1125010702,0177256-01125010702,182.0,16.6,36.6,5.8,11.2,6.0,69.2,22.5,17.3,33.1799280593,-87.3837603146,1125,1125
AL,Tuscaloosa,177256,1125010804,0177256-01125010804,534.0,18.5,40.8,7.3,10.4,8.1,71.0,20.1,16.1,33.194539462,-87.46527684,1125,1125
AL,Tuscaloosa,177256,1125012501,0177256-01125012501,682.0,20.1,54.1,6.1,12.8,7.9,79.9,22.2,16.5,33.1826491467,-87.6198106664,1125,1125
AL,Tuscaloosa,177256,1125012502,0177256-01125012502,80.0,11.7,31.7,5.8,9.6,4.2,68.8,16.2,12.8,33.1234983269,-87.5632458717,1125,1125
AK,Anchorage,203000,2020001100,0203000-02020001100,940.0,14.8,32.3,5.6,8.9,5.5,51.7,21.7,12.2,61.2177091891,-149.891260329,2020,2020
AZ,Avondale,404720,4013082207,0404720-04013082207,416.0,22.1,28.4,5.7,10.6,5.6,65.7,18.6,14.6,33.4013549649,-112.29481412,4013,4013
AZ,Chandler,412000,4013422307,0412000-04013422307,75.0,10.1,29.3,7.8,10.4,6.0,68.9,14.6,12.0,33.360534237,-111.836370176,4013,4013
AZ,Chandler,412000,4013810100,0412000-04013810100,99.0,8.7,21.8,5.7,8.7,3.1,66.0,10.9,8.9,33.3260514054,-111.914650024,4013,4013
AZ,Chandler,412000,4013817300,0412000-04013817300,102.0,6.9,49.1,17.0,9.0,11.5,83.9,7.5,6.7,33.2325257865,-111.867433469,4013,4013
AZ,Gilbert,427400,4013422636,0427400-04013422636,452.0,14.0,18.7,4.0,11.1,2.7,61.8,17.9,14.1,33.382430021,-111.723569539,4013,4013
AZ,Glendale,427820,4013061011,0427820-04013061011,132.0,17.6,23.9,4.6,10.0,3.7,64.6,16.0,12.5,33.5367416115,-112.320180234,4013,4013
AZ,Glendale,427820,4013061044,0427820-04013061044,187.0,13.3,26.2,5.6,10.3,4.5,66.3,16.2,12.4,33.564372531,-112.404174283,4013,4013
AZ,Glendale,427820,4013061047,0427820-04013061047,149.0,13.1,24.5,6.1,9.5,3.9,68.5,12.0,10.3,33.5129001414,-112.351998253,4013,4013
AZ,Mesa,446000,4013420108,0446000-04013420108,88.0,7.4,24.3,6.3,9.3,3.9,66.3,13.4,10.1,33.4858701346,-111.642143834,4013,4013
AZ,Mesa,446000,4013420114,0446000-04013420114,777.0,17.2,25.1,4.6,11.5,4.4,61.7,24.7,17.0,33.4197025492,-111.653504461,4013,4013
AZ,Mesa,446000,4013420115,0446000-04013420115,499.0,18.5,36.2,8.4,11.0,9.3,68.7,19.8,14.9,33.4189638839,-111.6208132,4013,4013
AZ,Mesa,446000,4013420214,0446000-04013420214,750.0,16.5,32.9,8.3,10.4,7.3,68.8,17.5,13.1,33.4176144,-111.70296477,4013,4013
AZ,Mesa,446000,4013422627,0446000-04013422627,248.0,18.0,22.1,4.1,10.9,3.7,61.1,21.3,15.5,33.4096600697,-111.641930903,4013,4013
AZ,Mesa,446000,4013422630,0446000-04013422630,391.0,11.3,57.6,17.0,10.5,18.0,82.7,14.1,10.6,33.3954618556,-111.628038947,4013,4013
AZ,Mesa,446000,4013422639,0446000-04013422639,547.0,11.0,28.4,7.6,10.0,5.5,68.5,13.7,11.2,33.38943008,-111.693856044,4013,4013
AZ,Mesa,446000,4013817600,0446000-04013817600,222.0,15.6,28.4,5.7,11.1,5.6,64.8,20.7,15.5,33.3036854901,-111.633586243,4013,4013
AZ,Peoria,454050,4013040521,0454050-04013040521,56.0,12.2,17.9,3.8,9.4,2.6,61.1,14.9,11.5,33.7332383869,-112.297529124,4013,4013
AZ,Peoria,454050,4013071506,0454050-04013071506,152.0,12.0,25.4,5.4,11.2,4.2,65.0,19.4,14.4,33.6198982864,-112.256859877,4013,4013
AZ,Peoria,454050,4013071802,0454050-04013071802,252.0,9.2,54.5,16.9,10.1,15.0,83.3,11.6,9.4,33.5750519732,-112.271000397,4013,4013
AZ,Phoenix,455000,4013113400,0455000-04013113400,684.0,32.1,31.1,4.4,10.0,10.3,61.2,24.2,18.6,33.4549592546,-112.025811175,4013,4013
AZ,Phoenix,455000,4013116733,0455000-04013116733,283.0,7.8,27.8,7.0,9.5,4.6,68.7,13.3,10.2,33.3363887826,-112.06981438,4013,4013
AZ,Phoenix,455000,4013217300,0455000-04013217300,120.0,6.0,35.2,11.2,9.5,6.9,75.5,9.2,8.5,33.5053836456,-111.941689493,4013,4013
AZ,Phoenix,455000,4013610100,0455000-04013610100,881.0,9.9,23.0,5.6,10.1,3.6,65.2,16.4,11.8,33.8882835336,-112.145348843,4013,4013
AZ,Phoenix,455000,4013614300,0455000-04013614300,52.0,9.2,24.1,6.1,9.9,3.7,65.8,14.5,11.0,33.6858734811,-112.155056373,4013,4013
AZ,Scottsdale,465000,4013105002,0465000-04013105002,201.0,5.1,34.0,12.3,8.5,6.9,76.2,6.5,6.8,33.5110510427,-111.935811236,4013,4013
AZ,Scottsdale,465000,4013613000,0465000-04013613000,151.0,5.8,42.2,14.1,9.2,9.0,79.8,8.7,7.4,33.7891927845,-111.941810858,4013,4013
AZ,Scottsdale,465000,4013613200,0465000-04013613200,907.0,8.6,33.4,8.5,10.5,6.7,70.6,15.3,11.8,33.7553456701,-111.930948053,4013,4013
AZ,Surprise,471510,4013071505,0471510-04013071505,404.0,8.6,51.8,16.7,10.1,13.6,82.5,11.5,9.2,33.6351842899,-112.310325617,4013,4013
AZ,Tempe,473000,4013810600,0473000-04013810600,81.0,6.9,30.6,8.7,9.7,5.4,71.0,12.3,9.7,33.3278319632,-111.915554585,4013,4013
AZ,Tucson,477000,4019000100,0477000-04019000100,514.0,11.4,29.1,7.2,8.9,6.4,65.7,14.8,11.1,32.2208644791,-110.971063453,4019,4019
AZ,Tucson,477000,4019004053,0477000-04019004053,326.0,9.3,25.0,7.3,10.0,4.3,66.8,14.3,11.1,32.2603950321,-110.809585729,4019,4019
AZ,Tucson,477000,4019004061,0477000-04019004061,93.0,11.0,25.1,5.6,9.7,4.2,64.2,18.2,12.5,32.0352121126,-110.708239975,4019,4019
AZ,Tucson,477000,4019004310,0477000-04019004310,264.0,18.9,26.3,5.2,9.7,4.9,63.6,18.7,13.8,32.1731045058,-111.007743172,4019,4019
AZ,Tucson,477000,4019004506,0477000-04019004506,204.0,27.0,23.6,3.9,10.3,4.1,59.8,22.8,16.9,32.3103624712,-111.038031044,4019,4019
AZ,Tucson,477000,4019004513,0477000-04019004513,309.0,17.4,32.1,7.2,10.3,7.3,66.1,20.6,14.9,32.2808675243,-110.997402187,4019,4019
AZ,Tucson,477000,4019004613,0477000-04019004613,426.0,16.5,24.8,5.0,10.4,4.6,62.1,21.5,15.0,32.3163474389,-111.041255733,4019,4019
AZ,Tucson,477000,4019004725,0477000-04019004725,631.0,12.5,18.3,4.3,9.3,3.2,60.5,14.1,12.0,32.2982678527,-110.97065521,4019,4019
AZ,Tucson,477000,4019004726,0477000-04019004726,367.0,7.9,22.5,6.7,8.2,3.8,66.3,9.6,8.3,32.295644768,-110.955225744,4019,4019
AZ,Tucson,477000,4019005300,0477000-04019005300,697.0,8.4,26.7,7.4,9.4,4.9,67.3,14.0,10.6,32.2412098818,-110.783769176,4019,4019
AZ,Yuma,485540,4027000403,0485540-04027000403,123.0,19.2,42.7,8.3,11.6,10.9,68.8,23.7,16.8,32.7087556948,-114.659969028,4027,4027
AZ,Yuma,485540,4027000404,0485540-04027000404,475.0,38.8,40.4,8.0,11.2,12.6,66.4,21.4,17.6,32.7180415915,-114.653028372,4027,4027
AZ,Yuma,485540,4027011107,0485540-04027011107,465.0,13.9,28.0,6.4,8.7,5.1,65.6,13.4,10.5,32.6638175375,-114.560574456,4027,4027
AZ,Yuma,485540,4027011700,0485540-04027011700,454.0,12.6,47.4,13.9,9.8,12.0,77.9,12.1,9.6,32.6767099803,-114.46846783,4027,4027
AR,Fayetteville,523290,5143010503,0523290-05143010503,625.0,10.3,21.9,3.7,9.0,2.8,63.3,17.3,13.7,36.1186550606,-94.1620450794,5143,5143
AR,Fayetteville,523290,5143011001,0523290-05143011001,562.0,12.7,34.2,6.3,8.8,5.9,67.9,19.6,13.8,36.033084469,-94.1998570893,5143,5143
AR,Fort Smith,524550,5131010301,0524550-05131010301,137.0,11.2,29.7,5.2,9.3,4.9,68.6,23.6,15.2,35.2668398944,-94.3715311514,5131,5131
AR,Jonesboro,535710,5031000900,0535710-05031000900,92.0,12.2,43.9,9.3,9.6,11.2,74.4,23.7,15.7,35.7743848937,-90.5758205309,5031,5031
AR,Little Rock,541000,5119000200,0541000-05119000200,864.0,17.1,47.2,6.2,10.8,7.4,75.6,25.2,14.9,34.7308763155,-92.2293082675,5119,5119
AR,Little Rock,541000,5119004006,0541000-05119004006,395.0,18.4,39.4,3.8,10.5,4.8,71.7,26.3,16.3,34.6374005596,-92.3453232427,5119,5119
AR,Little Rock,541000,5119004007,0541000-05119004007,881.0,15.9,49.7,7.1,11.2,9.0,76.7,25.6,15.8,34.7067108009,-92.1828530354,5119,5119
AR,Springdale,566080,5007021311,0566080-05007021311,987.0,8.5,25.3,5.8,8.8,4.6,69.3,16.0,12.1,36.2238852519,-94.2145134039,5007,5007
AR,Springdale,566080,5007021406,0566080-05007021406,869.0,17.6,22.6,3.7,9.6,3.9,65.9,22.0,16.2,36.2283320076,-94.1252814301,5007,5007
AR,Springdale,566080,5143010101,0566080-05143010101,505.0,16.4,33.3,5.2,9.1,5.6,66.5,22.1,15.4,36.1814709055,-94.0925441925,5143,5143
AR,Springdale,566080,5143010102,0566080-05143010102,408.0,9.6,31.5,6.5,8.1,5.0,68.8,14.1,11.0,36.1502013442,-94.086411762,5143,5143
CA,Anaheim,602000,6059011714,0602000-06059011714,499.0,14.4,16.1,2.8,7.3,1.9,60.2,10.1,10.8,33.8569694761,-117.85432006,6059,6059
CA,Anaheim,602000,6059075813,0602000-06059075813,378.0,6.7,29.4,7.8,8.2,5.1,70.4,9.9,9.6,33.8371616714,-117.819130684,6059,6059
CA,Anaheim,602000,6059087703,0602000-06059087703,578.0,17.9,28.9,4.9,8.2,5.5,65.9,14.8,13.2,33.8064014823,-117.960787878,6059,6059
CA,Anaheim,602000,6059088402,0602000-06059088402,805.0,20.3,20.3,2.7,8.9,2.9,59.4,16.7,15.6,33.7942563147,-117.916166236,6059,6059
CA,Anaheim,602000,6059110201,0602000-06059110201,758.0,12.7,41.6,9.6,7.3,8.6,77.5,8.6,8.6,33.8328419648,-118.004862557,6059,6059
CA,Antioch,602252,6013313103,0602252-06013313103,498.0,12.0,20.7,3.4,8.8,2.7,63.4,14.2,12.1,37.9872041592,-121.856632936,6013,6013
CA,Apple Valley,602364,6071009708,0602364-06071009708,356.0,11.7,40.3,8.5,10.1,9.7,71.8,20.1,15.6,34.4486233098,-117.182826304,6071,6071
CA,Bakersfield,603526,6029000906,0603526-06029000906,707.0,18.3,31.2,5.7,10.2,5.9,64.7,18.8,15.6,35.3814217425,-118.935351692,6029,6029
CA,Bakersfield,603526,6029000907,0603526-06029000907,575.0,21.9,28.3,4.0,10.3,4.6,62.5,20.0,17.3,35.3803082832,-118.920262772,6029,6029
CA,Bakersfield,603526,6029000909,0603526-06029000909,811.0,7.8,34.5,8.9,8.8,6.2,71.5,11.1,10.0,35.3900098035,-118.935707504,6029,6029
CA,Bakersfield,603526,6029001000,0603526-06029001000,878.0,17.5,27.7,4.6,9.8,4.6,61.9,20.2,15.8,35.3857014444,-118.879438562,6029,6029
CA,Bakersfield,603526,6029001201,0603526-06029001201,176.0,22.1,34.7,4.3,10.1,7.9,61.5,25.8,19.3,35.386206671,-118.969656424,6029,6029
CA,Bakersfield,603526,6029002700,0603526-06029002700,571.0,22.3,36.1,5.6,10.6,8.0,64.8,21.8,18.2,35.346099411,-119.029934807,6029,6029
CA,Bakersfield,603526,6029003103,0603526-06029003103,152.0,20.3,37.0,5.4,11.9,7.6,64.3,26.6,20.3,35.3112040079,-118.993130275,6029,6029
CA,Bakersfield,603526,6029003807,0603526-06029003807,834.0,9.6,27.8,6.1,9.7,4.6,65.3,15.7,13.1,35.3915424745,-119.112159589,6029,6029
CA,Bakersfield,603526,6029003810,0603526-06029003810,915.0,6.8,28.6,6.4,8.9,4.2,68.2,11.7,10.5,35.3715618579,-119.135678676,6029,6029
CA,Bakersfield,603526,6029003811,0603526-06029003811,612.0,11.4,22.3,4.3,9.4,3.0,62.6,15.3,12.9,35.3715296389,-119.123163302,6029,6029
CA,Bakersfield,603526,6029005103,0603526-06029005103,141.0,8.5,47.7,13.1,9.6,11.7,76.0,14.3,11.5,35.413137587,-118.98791202,6029,6029
CA,Baldwin Park,603666,6037406901,0603666-06037406901,322.0,24.8,18.0,2.7,8.4,2.8,60.3,13.2,13.7,34.0629336467,-117.967574216,6037,6037
CA,Baldwin Park,603666,6037407001,0603666-06037407001,562.0,24.5,20.2,3.5,8.7,3.3,62.8,13.6,13.3,34.064442458,-117.974223375,6037,6037
CA,Carlsbad,611194,6073017107,0611194-06073017107,76.0,4.7,21.5,4.9,7.9,2.5,66.6,9.0,8.8,33.0658776539,-117.246694474,6073,6073
CA,Carlsbad,611194,6073017110,0611194-06073017110,965.0,7.0,23.1,5.4,8.4,3.3,66.4,10.7,10.4,33.0836282621,-117.222535249,6073,6073
CA,Carson,611530,6037543100,0611530-06037543100,549.0,15.1,39.2,6.1,12.4,6.1,76.6,16.1,13.9,33.878460007,-118.257697298,6037,6037
CA,Chino,613210,6071000107,0613210-06071000107,621.0,10.0,21.7,4.6,7.8,3.0,67.1,11.0,10.6,33.9882560659,-117.718352283,6071,6071
CA,Chino,613210,6071000115,0613210-06071000115,61.0,9.8,18.2,4.0,7.1,2.7,65.2,9.1,9.3,33.9548885058,-117.663572354,6071,6071
CA,Chino,613210,6071001704,0613210-06071001704,299.0,19.3,23.7,4.0,8.5,3.8,65.3,14.2,13.5,34.0311671054,-117.661876503,6071,6071
CA,Chula Vista,613392,6073003207,0613392-06073003207,495.0,13.4,30.8,7.4,8.6,5.7,69.4,12.2,11.4,32.6634731476,-117.033851199,6073,6073
CA,Chula Vista,613392,6073010103,0613392-06073010103,78.0,21.7,33.6,6.0,8.7,6.4,68.2,14.3,13.3,32.6005741966,-117.090572599,6073,6073
CA,Citrus Heights,613588,6067008130,0613588-06067008130,192.0,10.2,30.0,5.6,10.7,4.9,64.9,17.7,14.6,38.6953947976,-121.326008062,6067,6067
CA,Compton,615044,6037541100,0615044-06037541100,104.0,16.0,38.9,4.9,13.4,5.4,75.5,20.9,16.7,33.8968538223,-118.25469396,6037,6037
CA,Compton,615044,6037541801,0615044-06037541801,452.0,28.1,28.2,3.7,10.7,5.1,64.1,19.4,17.9,33.9087437372,-118.195429764,6037,6037
CA,Compton,615044,6037541802,0615044-06037541802,188.0,22.0,35.7,5.7,11.7,6.5,71.8,16.7,15.1,33.9062854226,-118.188260071,6037,6037
CA,Compton,615044,6037542103,0615044-06037542103,312.0,30.3,28.9,3.7,10.4,5.6,63.7,19.8,18.1,33.9038146717,-118.195993332,6037,6037
CA,Compton,615044,6037542104,0615044-06037542104,699.0,25.8,22.9,3.4,9.0,3.9,62.7,14.7,14.2,33.902346545,-118.190613634,6037,6037
CA,Compton,615044,6037542106,0615044-06037542106,285.0,29.7,24.2,3.4,9.9,4.6,62.2,17.5,16.7,33.8923990055,-118.185833976,6037,6037
CA,Compton,615044,6037543305,0615044-06037543305,69.0,21.1,32.7,7.8,7.2,9.8,69.4,11.1,9.8,33.8701093881,-118.225835594,6037,6037
CA,Concord,616000,6013313204,0616000-06013313204,393.0,10.7,29.1,6.7,9.5,6.0,66.5,16.1,13.4,37.964083432,-121.939725597,6013,6013
CA,Concord,616000,6013315000,0616000-06013315000,117.0,8.6,27.1,5.2,9.0,4.5,64.5,15.8,12.3,38.012944671,-122.02753614,6013,6013
CA,Concord,616000,6013355200,0616000-06013355200,354.0,9.4,11.9,2.3,9.9,1.3,56.2,14.5,13.4,37.9909541242,-121.982327555,6013,6013
CA,Concord,616000,6013355306,0616000-06013355306,91.0,6.0,22.8,6.4,8.6,3.9,66.9,9.2,10.0,37.9301850748,-121.961105453,6013,6013
CA,Corona,616350,6065041409,0616350-06065041409,573.0,13.2,22.2,4.4,7.8,3.2,63.8,11.0,11.3,33.8597915387,-117.50899053,6065,6065
CA,Corona,616350,6065041412,0616350-06065041412,232.0,17.1,27.5,4.8,8.3,4.6,65.3,14.4,13.3,33.8879391538,-117.509268814,6065,6065
CA,Corona,616350,6065041909,0616350-06065041909,180.0,13.9,33.2,6.6,9.1,6.7,67.4,16.1,14.6,33.8402661708,-117.525856981,6065,6065
CA,Corona,616350,6065041910,0616350-06065041910,979.0,12.0,23.9,4.6,8.8,3.5,63.5,15.5,13.3,33.8166165231,-117.506267846,6065,6065
CA,Costa Mesa,616532,6059063101,0616532-06059063101,322.0,9.4,25.0,6.0,8.2,4.4,65.3,11.3,11.0,33.6681181279,-117.885625806,6059,6059
CA,El Cajon,621712,6073015403,0621712-06073015403,673.0,6.4,29.0,7.6,8.4,5.0,69.7,10.5,10.0,32.776174037,-116.955799412,6073,6073
CA,El Cajon,621712,6073016503,0621712-06073016503,203.0,12.4,26.3,5.7,9.6,4.5,64.7,17.1,14.1,32.820233335,-116.950727171,6073,6073
CA,El Cajon,621712,6073016616,0621712-06073016616,647.0,8.9,33.6,7.9,9.5,6.8,69.1,15.1,13.1,32.826492685,-116.993035978,6073,6073
CA,El Cajon,621712,6073016807,0621712-06073016807,683.0,9.7,29.1,6.7,9.5,5.0,67.5,15.4,12.9,32.8191684923,-116.916720471,6073,6073
CA,El Cajon,621712,6073016809,0621712-06073016809,529.0,9.0,30.2,6.7,9.0,5.0,68.4,14.5,11.8,32.8174120925,-116.914159436,6073,6073
