stateabbr,placename,placefips,tractfips,place_tractid,population2010,insurance,highbloodpressure,cancer,asthma,heartdisease,annualcheckups,smokes,mentalhealthissues,latitude,longitude,countyfips,State,StateAbbr,County,CountyFIPS,Asthma,AFHeartDisease,COPD,Depression,HeartFailure,Hypertension,CoronaryArtery,Psychotic,Stroke,TotalCost,tract,hpi,Place_TractID,SiteId,PM2.5_Exceptional,PM2.5_ExceedCount,PM2.5_Max,Ozone_Exceptional,Ozone_ExceedCount,Ozone_Max,sfcount
AL,Birmingham,107000,1073012602,0107000-01073012602,371,19.9,48.6,7.6,11.3,9.8,74.8,21.7,15.9,33.57016467,-86.66643058,1073,Alabama ,AL,Jefferson ,1073,21757.522534,27331.927441,27268.357869,22037.223923,30255.834117,15218.437417,21404.634337,22090.977918,34328.945095,472312.20209350006,1073012602,243.57,0107000-01073012602,11,0,0,26.6,0,1,0.078,0
AL,Birmingham,107000,1073012703,0107000-01073012703,498,12.6,20.6,3.4,9.4,2.2,64.6,13,12.1,33.46811809,-86.66718882,1073,Alabama ,AL,Jefferson ,1073,21757.522534,27331.927441,27268.357869,22037.223923,30255.834117,15218.437417,21404.634337,22090.977918,34328.945095,472312.20209350006,1073012703,415.49,0107000-01073012703,11,0,0,26.6,0,1,0.078,0
AL,Birmingham,107000,1073012704,0107000-01073012704,113,10.6,31.2,6.5,9.3,5.2,68,15.8,12.7,33.50341959,-86.61809834,1073,Alabama ,AL,Jefferson ,1073,21757.522534,27331.927441,27268.357869,22037.223923,30255.834117,15218.437417,21404.634337,22090.977918,34328.945095,472312.20209350006,1073012704,246.83,0107000-01073012704,11,0,0,26.6,0,1,0.078,0
AL,Birmingham,107000,1073013901,0107000-01073013901,952,19.9,50.4,6.8,12.5,7.8,79.2,19.9,14.8,33.47293849,-86.95473376,1073,Alabama ,AL,Jefferson ,1073,21757.522534,27331.927441,27268.357869,22037.223923,30255.834117,15218.437417,21404.634337,22090.977918,34328.945095,472312.20209350006,1073013901,237.33,0107000-01073013901,11,0,0,26.6,0,1,0.078,0
AL,Birmingham,107000,1073014413,0107000-01073014413,397,9.9,23.5,5.1,8.3,3.1,66.4,10.9,10,33.42265931,-86.85086208,1073,Alabama ,AL,Jefferson ,1073,21757.522534,27331.927441,27268.357869,22037.223923,30255.834117,15218.437417,21404.634337,22090.977918,34328.945095,472312.20209350006,1073014413,370.76,0107000-01073014413,11,0,0,26.6,0,1,0.078,0
AL,Birmingham,107000,1117030213,0107000-01117030213,644,11.1,29.3,5,9.3,3.8,70.4,13.1,12,33.43959752,-86.67359594,1117,Alabama ,AL,Shelby ,1117,20142.96371,24396.688013,24967.366754,20049.308852,27598.770969,14185.835955,17868.764979,26293.132506,32793.998852,435321.6214605,1117030213,246.83,0107000-01117030213,11,0,0,26.6,0,1,0.078,0
AL,Birmingham,107000,1117030303,0107000-01117030303,968,12.3,22.2,2.8,9.6,1.8,68,13.6,12.3,33.42586612,-86.71381936,1117,Alabama ,AL,Shelby ,1117,20142.96371,24396.688013,24967.366754,20049.308852,27598.770969,14185.835955,17868.764979,26293.132506,32793.998852,435321.6214605,1117030303,415.49,0107000-01117030303,11,0,0,26.6,0,1,0.078,0
AL,Hoover,135896,1073012906,0135896-01073012906,788,15.9,23.5,2.9,10.1,2,68.3,13.3,12.3,33.40451614,-86.78765023,1073,Alabama ,AL,Jefferson ,1073,21757.522534,27331.927441,27268.357869,22037.223923,30255.834117,15218.437417,21404.634337,22090.977918,34328.945095,472312.20209350006,1073012906,475.29,0135896-01073012906,11,0,0,26.6,0,1,0.078,0
AL,Hoover,135896,1073012910,0135896-01073012910,218,6.9,32.1,7.1,9.1,4.6,71.3,11,10.5,33.41869377,-86.72213184,1073,Alabama ,AL,Jefferson ,1073,21757.522534,27331.927441,27268.357869,22037.223923,30255.834117,15218.437417,21404.634337,22090.977918,34328.945095,472312.20209350006,1073012910,415.49,0135896-01073012910,11,0,0,26.6,0,1,0.078,0
AL,Hoover,135896,1073014203,0135896-01073014203,242,11.8,30.9,5.9,9.9,4.9,67.8,17.7,14,33.31280463,-86.90050201,1073,Alabama ,AL,Jefferson ,1073,21757.522534,27331.927441,27268.357869,22037.223923,30255.834117,15218.437417,21404.634337,22090.977918,34328.945095,472312.20209350006,1073014203,247.24,0135896-01073014203,11,0,0,26.6,0,1,0.078,0
AL,Hoover,135896,1117030212,0135896-01117030212,97,18.1,23.3,2.1,9.2,1.8,65.6,16.4,13.9,33.4231254,-86.69639183,1117,Alabama ,AL,Shelby ,1117,20142.96371,24396.688013,24967.366754,20049.308852,27598.770969,14185.835955,17868.764979,26293.132506,32793.998852,435321.6214605,1117030212,246.83,0135896-01117030212,11,0,0,26.6,0,1,0.078,0
AL,Hoover,135896,1117030305,0135896-01117030305,684,7.9,37.1,7.8,9,5.5,74.9,11.9,10.5,33.35063232,-86.77406775,1117,Alabama ,AL,Shelby ,1117,20142.96371,24396.688013,24967.366754,20049.308852,27598.770969,14185.835955,17868.764979,26293.132506,32793.998852,435321.6214605,1117030305,247.24,0135896-01117030305,11,0,0,26.6,0,1,0.078,0
AL,Hoover,135896,1117030330,0135896-01117030330,342,9.2,45.8,12,8.6,8.9,79.3,10.7,9.3,33.41398238,-86.68875661,1117,Alabama ,AL,Shelby ,1117,20142.96371,24396.688013,24967.366754,20049.308852,27598.770969,14185.835955,17868.764979,26293.132506,32793.998852,435321.6214605,1117030330,246.83,0135896-01117030330,11,0,0,26.6,0,1,0.078,0
AL,Hoover,135896,1117030344,0135896-01117030344,209,9.6,40.8,9.1,9.1,6.9,75.3,13.9,11.2,33.40999055,-86.6692094,1117,Alabama ,AL,Shelby ,1117,20142.96371,24396.688013,24967.366754,20049.308852,27598.770969,14185.835955,17868.764979,26293.132506,32793.998852,435321.6214605,1117030344,246.83,0135896-01117030344,11,0,0,26.6,0,1,0.078,0
AL,Huntsville,137000,1083020802,0137000-01083020802,699,14.8,28.3,3.8,10.7,2.8,67.7,18.5,14.2,34.77870377,-86.795488,1083,Alabama ,AL,Limestone ,1083,20151.819559,24468.882717,23465.973218,19662.616825,25908.200047,13671.530295,18854.92752,22723.274591,29955.291841,394503.7136105001,1083020802,192.22,0137000-01083020802,25,0,0,18.5,0,0,0.07,0
AL,Huntsville,137000,1083021200,0137000-01083021200,822,13.6,33.3,5,10.3,4.1,69.8,16.3,13.2,34.65423653,-86.83403931,1083,Alabama ,AL,Limestone ,1083,20151.819559,24468.882717,23465.973218,19662.616825,25908.200047,13671.530295,18854.92752,22723.274591,29955.291841,394503.7136105001,1083021200,192.22,0137000-01083021200,25,0,0,18.5,0,0,0.07,0
AL,Huntsville,137000,1089000201,0137000-01089000201,760,24.8,50.8,5.6,14.1,8.7,77,26.6,19.7,34.77415538,-86.54954934,1089,Alabama ,AL,Madison ,1089,18124.055919,24523.728054,24563.548339,19842.7471,27227.308408,13421.957182,18385.145594,21603.837987,28306.421685,401355.4595405,1089000201,190.92,0137000-01089000201,25,0,0,18.5,0,0,0.07,0
AL,Huntsville,137000,1089010502,0137000-01089010502,167,14.9,52.1,8.9,11.4,9.9,77.9,18.2,13.6,34.83899448,-86.65935906,1089,Alabama ,AL,Madison ,1089,18124.055919,24523.728054,24563.548339,19842.7471,27227.308408,13421.957182,18385.145594,21603.837987,28306.421685,401355.4595405,1089010502,188.35,0137000-01089010502,25,0,0,18.5,0,0,0.07,0
AL,Huntsville,137000,1089010623,0137000-01089010623,661,10.8,29.1,5.4,9.8,3.8,69,13.8,11.6,34.7808033,-86.74097179,1089,Alabama ,AL,Madison ,1089,18124.055919,24523.728054,24563.548339,19842.7471,27227.308408,13421.957182,18385.145594,21603.837987,28306.421685,401355.4595405,1089010623,179.18,0137000-01089010623,25,0,0,18.5,0,0,0.07,0
AL,Huntsville,137000,1089010624,0137000-01089010624,70,12.1,31.3,5.5,9.7,4.3,69.7,14.6,12,34.79009445,-86.78348313,1089,Alabama ,AL,Madison ,1089,18124.055919,24523.728054,24563.548339,19842.7471,27227.308408,13421.957182,18385.145594,21603.837987,28306.421685,401355.4595405,1089010624,179.18,0137000-01089010624,25,0,0,18.5,0,0,0.07,0
AL,Huntsville,137000,1089010702,0137000-01089010702,732,17.8,37,5,12.2,4.9,72.8,20.1,15.6,34.81038039,-86.56083867,1089,Alabama ,AL,Madison ,1089,18124.055919,24523.728054,24563.548339,19842.7471,27227.308408,13421.957182,18385.145594,21603.837987,28306.421685,401355.4595405,1089010702,190.92,0137000-01089010702,25,0,0,18.5,0,0,0.07,0
AL,Huntsville,137000,1089010800,0137000-01089010800,860,11.1,35.9,7.5,9.9,6.2,70.2,16.7,13,34.74608848,-86.512981,1089,Alabama ,AL,Madison ,1089,18124.055919,24523.728054,24563.548339,19842.7471,27227.308408,13421.957182,18385.145594,21603.837987,28306.421685,401355.4595405,1089010800,478.9,0137000-01089010800,25,0,0,18.5,0,0,0.07,0
AL,Huntsville,137000,1089011022,0137000-01089011022,672,13.2,22.2,3.4,9.7,2.7,62.7,16.7,14,34.69900293,-86.71081457,1089,Alabama ,AL,Madison ,1089,18124.055919,24523.728054,24563.548339,19842.7471,27227.308408,13421.957182,18385.145594,21603.837987,28306.421685,401355.4595405,1089011022,175.93,0137000-01089011022,25,0,0,18.5,0,0,0.07,1
AL,Huntsville,137000,1089011300,0137000-01089011300,937,12.1,39.5,8.7,9.8,7.7,71.5,17.6,13.1,34.58714954,-86.51417578,1089,Alabama ,AL,Madison ,1089,18124.055919,24523.728054,24563.548339,19842.7471,27227.308408,13421.957182,18385.145594,21603.837987,28306.421685,401355.4595405,1089011300,309.37,0137000-01089011300,25,0,0,18.5,0,0,0.07,0
AL,Mobile,150000,1097000402,0150000-01097000402,103,26,65.9,9.1,14.8,16.1,84.3,25.5,20.3,30.70432698,-88.05214377,1097,Alabama ,AL,Mobile ,1097,24218.415856,25834.220109,26209.46158,20486.648795,27648.647626,15057.360555,19242.935754,19222.354271,31190.397745,438495.25586180005,,,0150000-01097000402,29,0,0,20.8,0,0,0.06,0
AL,Mobile,150000,1097003605,0150000-01097003605,791,15.9,10.8,0.8,12.6,0.6,63.9,14.6,20.7,30.69516284,-88.18234678,1097,Alabama ,AL,Mobile ,1097,24218.415856,25834.220109,26209.46158,20486.648795,27648.647626,15057.360555,19242.935754,19222.354271,31190.397745,438495.25586180005,1097003605,279.15,0150000-01097003605,29,0,0,20.8,0,0,0.06,0
AL,Mobile,150000,1097003800,0150000-01097003800,669,22.3,54.9,6.8,13.1,9.5,81.1,22.9,17,30.7890622,-88.0305346,1097,Alabama ,AL,Mobile ,1097,24218.415856,25834.220109,26209.46158,20486.648795,27648.647626,15057.360555,19242.935754,19222.354271,31190.397745,438495.25586180005,1097003800,202.68,0150000-01097003800,29,0,0,20.8,0,0,0.06,0
AL,Mobile,150000,1097003902,0150000-01097003902,667,27.3,59.6,6.6,13.9,12.9,80.1,28.8,20.9,30.72007218,-88.10541101,1097,Alabama ,AL,Mobile ,1097,24218.415856,25834.220109,26209.46158,20486.648795,27648.647626,15057.360555,19242.935754,19222.354271,31190.397745,438495.25586180005,1097003902,78.96,0150000-01097003902,29,0,0,20.8,0,0,0.06,0
AL,Mobile,150000,1097006403,0150000-01097006403,142,18.6,36.2,6.6,11,7,70.3,22.3,16.6,30.6914801,-88.25264972,1097,Alabama ,AL,Mobile ,1097,24218.415856,25834.220109,26209.46158,20486.648795,27648.647626,15057.360555,19242.935754,19222.354271,31190.397745,438495.25586180005,1097006403,279.15,0150000-01097006403,29,0,0,20.8,0,0,0.06,0
AL,Mobile,150000,1097006404,0150000-01097006404,557,14.5,32.5,5.2,10.1,5,69.6,19.2,14.5,30.67637457,-88.22979163,1097,Alabama ,AL,Mobile ,1097,24218.415856,25834.220109,26209.46158,20486.648795,27648.647626,15057.360555,19242.935754,19222.354271,31190.397745,438495.25586180005,1097006404,279.15,0150000-01097006404,29,0,0,20.8,0,0,0.06,0
AL,Mobile,150000,1097006405,0150000-01097006405,603,15.7,29.9,4.4,11.8,3.6,73.3,17.1,15,30.67662003,-88.21882423,1097,Alabama ,AL,Mobile ,1097,24218.415856,25834.220109,26209.46158,20486.648795,27648.647626,15057.360555,19242.935754,19222.354271,31190.397745,438495.25586180005,1097006405,279.15,0150000-01097006405,29,0,0,20.8,0,0,0.06,0
AL,Mobile,150000,1097006801,0150000-01097006801,344,12.2,35.7,6.7,9.6,5.9,72.3,16.6,12.9,30.62395135,-88.21545201,1097,Alabama ,AL,Mobile ,1097,24218.415856,25834.220109,26209.46158,20486.648795,27648.647626,15057.360555,19242.935754,19222.354271,31190.397745,438495.25586180005,1097006801,211.78,0150000-01097006801,29,0,0,20.8,0,0,0.06,0
AL,Mobile,150000,1097006802,0150000-01097006802,219,19.4,36.6,6.6,10.3,7.5,68.1,24.1,17,30.60092058,-88.17768076,1097,Alabama ,AL,Mobile ,1097,24218.415856,25834.220109,26209.46158,20486.648795,27648.647626,15057.360555,19242.935754,19222.354271,31190.397745,438495.25586180005,1097006802,176.14,0150000-01097006802,29,0,0,20.8,0,0,0.06,0
AL,Montgomery,151000,1101005301,0151000-01101005301,623,16.2,20.8,2.4,9.9,1.7,64.4,19.8,15.2,32.40676931,-86.24670208,1101,Alabama ,AL,Montgomery ,1101,23968.606555,27202.70264,30549.184933,23689.232581,31126.5233,14945.3642,20949.477921,25518.943601,34155.242367,504330.20829820004,1101005301,151.38,0151000-01101005301,29,0,0,20.8,0,0,0.06,1
AL,Montgomery,151000,1101005501,0151000-01101005501,539,19,35.9,5.2,10.7,5.7,69.8,24.7,16.6,32.37611483,-86.12160542,1101,Alabama ,AL,Montgomery ,1101,23968.606555,27202.70264,30549.184933,23689.232581,31126.5233,14945.3642,20949.477921,25518.943601,34155.242367,504330.20829820004,1101005501,178.26,0151000-01101005501,29,0,0,20.8,0,0,0.06,0
AL,Montgomery,151000,1101005503,0151000-01101005503,492,11.6,25.9,5.2,9.6,3.6,68.3,15.2,12.6,32.35078576,-86.13253864,1101,Alabama ,AL,Montgomery ,1101,23968.606555,27202.70264,30549.184933,23689.232581,31126.5233,14945.3642,20949.477921,25518.943601,34155.242367,504330.20829820004,1101005503,178.26,0151000-01101005503,29,0,0,20.8,0,0,0.06,0
AL,Montgomery,151000,1101005608,0151000-01101005608,136,8.8,34.1,7.1,8.9,5.2,74.1,11.7,10.1,32.29578117,-86.13165849,1101,Alabama ,AL,Montgomery ,1101,23968.606555,27202.70264,30549.184933,23689.232581,31126.5233,14945.3642,20949.477921,25518.943601,34155.242367,504330.20829820004,1101005608,178.26,0151000-01101005608,29,0,0,20.8,0,0,0.06,0
AL,Montgomery,151000,1101005610,0151000-01101005610,730,19.1,37.3,4.5,11.9,4.6,75,21,15.9,32.29292053,-86.24617469,1101,Alabama ,AL,Montgomery ,1101,23968.606555,27202.70264,30549.184933,23689.232581,31126.5233,14945.3642,20949.477921,25518.943601,34155.242367,504330.20829820004,1101005610,178.26,0151000-01101005610,29,0,0,20.8,0,0,0.06,0
AL,Montgomery,151000,1101005901,0151000-01101005901,896,20.3,47.5,6.6,11.4,7.7,78.2,19.6,14.5,32.29358924,-86.35321491,1101,Alabama ,AL,Montgomery ,1101,23968.606555,27202.70264,30549.184933,23689.232581,31126.5233,14945.3642,20949.477921,25518.943601,34155.242367,504330.20829820004,1101005901,122.96,0151000-01101005901,29,0,0,20.8,0,0,0.06,1
AL,Tuscaloosa,177256,1125010102,0177256-01125010102,57,11.7,28.3,4.6,10,4,65.9,18,15.1,33.35336401,-87.54175508,1125,Alabama ,AL,Tuscaloosa ,1125,22893.2678,23474.524019,25139.459844,22068.427787,28867.387977,14146.489814,20907.527669,22856.144045,34320.166254,449780.57914199994,1125010102,249.46,0177256-01125010102,11,0,0,26.6,0,1,0.078,0
AL,Tuscaloosa,177256,1125010203,0177256-01125010203,130,15.5,27.6,4.3,9.7,3.7,64.9,18.9,15.1,33.32873936,-87.55795155,1125,Alabama ,AL,Tuscaloosa ,1125,22893.2678,23474.524019,25139.459844,22068.427787,28867.387977,14146.489814,20907.527669,22856.144045,34320.166254,449780.57914199994,1125010203,215.99,0177256-01125010203,11,0,0,26.6,0,1,0.078,0
AL,Tuscaloosa,177256,1125010500,0177256-01125010500,75,22.6,38.8,4.5,12.8,5.6,69.3,26.9,21,33.23574552,-87.49972197,1125,Alabama ,AL,Tuscaloosa ,1125,22893.2678,23474.524019,25139.459844,22068.427787,28867.387977,14146.489814,20907.527669,22856.144045,34320.166254,449780.57914199994,1125010500,241.16,0177256-01125010500,11,0,0,26.6,0,1,0.078,0
AL,Tuscaloosa,177256,1125010601,0177256-01125010601,58,17.3,41.2,6.9,10.9,8.8,68.9,24.8,18.2,33.2137806,-87.44423234,1125,Alabama ,AL,Tuscaloosa ,1125,22893.2678,23474.524019,25139.459844,22068.427787,28867.387977,14146.489814,20907.527669,22856.144045,34320.166254,449780.57914199994,1125010601,241.16,0177256-01125010601,11,0,0,26.6,0,1,0.078,0
AL,Tuscaloosa,177256,1125010702,0177256-01125010702,182,16.6,36.6,5.8,11.2,6,69.2,22.5,17.3,33.17992806,-87.38376031,1125,Alabama ,AL,Tuscaloosa ,1125,22893.2678,23474.524019,25139.459844,22068.427787,28867.387977,14146.489814,20907.527669,22856.144045,34320.166254,449780.57914199994,1125010702,176.48,0177256-01125010702,11,0,0,26.6,0,1,0.078,0
AL,Tuscaloosa,177256,1125010804,0177256-01125010804,534,18.5,40.8,7.3,10.4,8.1,71,20.1,16.1,33.19453946,-87.46527684,1125,Alabama ,AL,Tuscaloosa ,1125,22893.2678,23474.524019,25139.459844,22068.427787,28867.387977,14146.489814,20907.527669,22856.144045,34320.166254,449780.57914199994,1125010804,241.16,0177256-01125010804,11,0,0,26.6,0,1,0.078,0
AL,Tuscaloosa,177256,1125012501,0177256-01125012501,682,20.1,54.1,6.1,12.8,7.9,79.9,22.2,16.5,33.18264915,-87.61981067,1125,Alabama ,AL,Tuscaloosa ,1125,22893.2678,23474.524019,25139.459844,22068.427787,28867.387977,14146.489814,20907.527669,22856.144045,34320.166254,449780.57914199994,1125012501,324.99,0177256-01125012501,11,0,0,26.6,0,1,0.078,0
AL,Tuscaloosa,177256,1125012502,0177256-01125012502,80,11.7,31.7,5.8,9.6,4.2,68.8,16.2,12.8,33.12349833,-87.56324587,1125,Alabama ,AL,Tuscaloosa ,1125,22893.2678,23474.524019,25139.459844,22068.427787,28867.387977,14146.489814,20907.527669,22856.144045,34320.166254,449780.57914199994,1125012502,217.95,0177256-01125012502,11,0,0,26.6,0,1,0.078,0
AK,Anchorage,203000,2020001100,0203000-02020001100,940,14.8,32.3,5.6,8.9,5.5,51.7,21.7,12.2,61.21770919,-149.8912603,2020,Alaska ,AK,Anchorage ,2020,19923.03713,18518.851203,22063.30576,16486.593888,24309.738029,12930.101574,16256.220455,12955.542522,28008.90646,346882.02347929997,2020001100,224.78,,,,,,,,,
AZ,Avondale,404720,4013082207,0404720-04013082207,416,22.1,28.4,5.7,10.6,5.6,65.7,18.6,14.6,33.40135496,-112.2948141,4013,Arizona ,AZ,Maricopa ,4013,19236.144538,23491.800939,24438.769217,19390.408226,28969.055858,13932.196146,18367.444481,21760.123716,29288.119738,420326.9708162,4013082207,280.36,0404720-04013082207,75,0,5,86.6,0,14,0.088,0
AZ,Chandler,412000,4013422307,0412000-04013422307,75,10.1,29.3,7.8,10.4,6,68.9,14.6,12,33.36053424,-111.8363702,4013,Arizona ,AZ,Maricopa ,4013,19236.144538,23491.800939,24438.769217,19390.408226,28969.055858,13932.196146,18367.444481,21760.123716,29288.119738,420326.9708162,4013422307,300.38,0412000-04013422307,76,0,1,41.1,0,16,0.082,0
AZ,Chandler,412000,4013810100,0412000-04013810100,99,8.7,21.8,5.7,8.7,3.1,66,10.9,8.9,33.32605141,-111.91465,4013,Arizona ,AZ,Maricopa ,4013,19236.144538,23491.800939,24438.769217,19390.408226,28969.055858,13932.196146,18367.444481,21760.123716,29288.119738,420326.9708162,4013810100,349.54,0412000-04013810100,85,0,0,34.5,0,0,0.068,0
AZ,Chandler,412000,4013817300,0412000-04013817300,102,6.9,49.1,17,9,11.5,83.9,7.5,6.7,33.23252579,-111.8674335,4013,Arizona ,AZ,Maricopa ,4013,19236.144538,23491.800939,24438.769217,19390.408226,28969.055858,13932.196146,18367.444481,21760.123716,29288.119738,420326.9708162,4013817300,231.26,0412000-04013817300,76,0,1,41.1,0,16,0.082,0
AZ,Gilbert,427400,4013422636,0427400-04013422636,452,14,18.7,4,11.1,2.7,61.8,17.9,14.1,33.38243002,-111.7235695,4013,Arizona ,AZ,Maricopa ,4013,19236.144538,23491.800939,24438.769217,19390.408226,28969.055858,13932.196146,18367.444481,21760.123716,29288.119738,420326.9708162,4013422636,412.15,0427400-04013422636,76,0,1,41.1,0,16,0.082,0
AZ,Glendale,427820,4013061011,0427820-04013061011,132,17.6,23.9,4.6,10,3.7,64.6,16,12.5,33.53674161,-112.3201802,4013,Arizona ,AZ,Maricopa ,4013,19236.144538,23491.800939,24438.769217,19390.408226,28969.055858,13932.196146,18367.444481,21760.123716,29288.119738,420326.9708162,4013061011,465.62,0427820-04013061011,79,0,1,40,0,2,0.077,0
